phase,kind,start_sec,end_sec,duration_sec,steady_window_sec,eval_window_sec,stationarity_window_sec,transient_start_sec,settle_search_start_sec,settled_start_sec,eval_start_sec,eval_end_sec,settled,not_settled_reason,stationarity_metrics,evaluated_component,repeat,velocity_key,velocity_speed_mps,desired,steady_actual,denominator,error_percent,sample_count,steady_sample_count,eval_sample_count
p0_prehold,hold,0.0,3.0,3.0,,5.0,3.0,0.0,0.0,,,,,,,,0,,,,,,,30,,
velocity_2mps_window_01_A_to_B,velocity,3.0,33.0,30.0,,5.0,3.0,3.0,12.0,12.0,15.0,20.0,True,,"{'valid': True, 'sample_count': 29, 'velocity_std_mps': 0.03360837233604444, 'speed_std_mps': 0.0297335245600341, 'velocity_slope_mps2': 0.013573535287802184, 'speed_slope_mps2': 0.013573535287802184, 'parallel_speed_mean_mps': 2.0067511915286307, 'parallel_speed_error_mean_mps': 0.025929940089838878, 'parallel_speed_error_max_mps': 0.06284153306655904, 'cross_speed_abs_mean_mps': 0.018757657857792792, 'cross_speed_abs_max_mps': 0.040852376450552896, 'cross_track_abs_mean_m': 0.03957372349465945, 'cross_track_abs_max_m': 0.053679836064728814, 'along_track_min_m': 15.737498453850172, 'along_track_max_m': 21.420300649246467, 'along_track_progress_m': 5.682802195396295, 'start_margin_required_m': 6.0, 'endpoint_margin_remaining_m': 26.0, 'endpoint_margin_required_m': 8.0}",E_vel,1,2mps,2.0,"{'target_speed_mps': 2.0, 'direction_xy': [-0.9916184128767211, 0.1292010961402894]}","{'mean_parallel_mps': 2.0417495343071197, 'mean_cross_mps': -0.0004403678676041889, 'mean_abs_cross_mps': 0.013486320844932292}",2.0,2.087476715355985,297,29,50
reset_between_velocity_2mps_window_01_at_B,hold,33.0,37.0,4.0,,5.0,3.0,33.0,33.0,,,,,,,,1,,,,,,,40,,
velocity_2mps_window_02_B_to_A,velocity,37.0,67.0,30.0,,5.0,3.0,37.0,46.0,46.0,49.0,54.0,True,,"{'valid': True, 'sample_count': 29, 'velocity_std_mps': 0.031812462071548225, 'speed_std_mps': 0.025567035103190302, 'velocity_slope_mps2': 0.00047560121205690754, 'speed_slope_mps2': 0.00047560121205690754, 'parallel_speed_mean_mps': 1.9939805397054327, 'parallel_speed_error_mean_mps': 0.019929882194676937, 'parallel_speed_error_max_mps': 0.06893303821387886, 'cross_speed_abs_mean_mps': 0.015873083350574104, 'cross_speed_abs_max_mps': 0.06261701633617617, 'cross_track_abs_mean_m': 0.3976725796884746, 'cross_track_abs_max_m': 0.4153694008917115, 'along_track_min_m': 14.303726011295266, 'along_track_max_m': 19.981096707821493, 'along_track_progress_m': 5.677370696526227, 'start_margin_required_m': 6.0, 'endpoint_margin_remaining_m': 26.0, 'endpoint_margin_required_m': 8.0}",E_vel,2,2mps,2.0,"{'target_speed_mps': 2.0, 'direction_xy': [0.9916184128767211, -0.1292010961402894]}","{'mean_parallel_mps': 2.035106292382047, 'mean_cross_mps': -0.004933594959245854, 'mean_abs_cross_mps': 0.01204315469938551}",2.0,1.7553146191023439,297,29,50
reset_between_velocity_2mps_window_02_at_A,hold,67.0,71.0,4.0,,5.0,3.0,67.0,67.0,,,,,,,,2,,,,,,,40,,
velocity_2mps_window_03_A_to_B,velocity,71.0,101.0,30.0,,5.0,3.0,71.0,80.0,80.0,83.0,88.0,True,,"{'valid': True, 'sample_count': 30, 'velocity_std_mps': 0.03210145277695735, 'speed_std_mps': 0.025953420629044443, 'velocity_slope_mps2': 0.017125807829365777, 'speed_slope_mps2': 0.017125807829365777, 'parallel_speed_mean_mps': 1.9717452757386398, 'parallel_speed_error_mean_mps': 0.03044213756383071, 'parallel_speed_error_max_mps': 0.09538521535473676, 'cross_speed_abs_mean_mps': 0.038570780194894065, 'cross_speed_abs_max_mps': 0.0897401187549077, 'cross_track_abs_mean_m': 0.02546138578078409, 'cross_track_abs_max_m': 0.057746350667521096, 'along_track_min_m': 13.73177685760145, 'along_track_max_m': 19.487889415600566, 'along_track_progress_m': 5.756112557999117, 'start_margin_required_m': 6.0, 'endpoint_margin_remaining_m': 26.0, 'endpoint_margin_required_m': 8.0}",E_vel,3,2mps,2.0,"{'target_speed_mps': 2.0, 'direction_xy': [-0.9916184128767211, 0.1292010961402894]}","{'mean_parallel_mps': 2.032929861639033, 'mean_cross_mps': -0.0111227758248777, 'mean_abs_cross_mps': 0.01587861007928143}",2.0,1.646493081951661,297,30,49
reset_between_velocity_2mps_window_03_at_B,hold,101.0,105.0,4.0,,5.0,3.0,101.0,101.0,,,,,,,,3,,,,,,,40,,
velocity_2mps_window_04_B_to_A,velocity,105.0,135.0,30.0,,5.0,3.0,105.0,114.0,114.0,117.0,122.0,True,,"{'valid': True, 'sample_count': 29, 'velocity_std_mps': 0.043693114533431276, 'speed_std_mps': 0.04153471183299848, 'velocity_slope_mps2': 0.03096670689388497, 'speed_slope_mps2': 0.03096670689388497, 'parallel_speed_mean_mps': 1.957334534560206, 'parallel_speed_error_mean_mps': 0.05079208352539268, 'parallel_speed_error_max_mps': 0.1217771150112461, 'cross_speed_abs_mean_mps': 0.03469730096857124, 'cross_speed_abs_max_mps': 0.05371312147825702, 'cross_track_abs_mean_m': 0.09195708814473055, 'cross_track_abs_max_m': 0.13061526198097861, 'along_track_min_m': 13.817414559576655, 'along_track_max_m': 19.32386650177222, 'along_track_progress_m': 5.506451942195564, 'start_margin_required_m': 6.0, 'endpoint_margin_remaining_m': 26.0, 'endpoint_margin_required_m': 8.0}",E_vel,4,2mps,2.0,"{'target_speed_mps': 2.0, 'direction_xy': [0.9916184128767211, -0.1292010961402894]}","{'mean_parallel_mps': 2.0212750476953834, 'mean_cross_mps': -0.0178674341631698, 'mean_abs_cross_mps': 0.019532901128732388}",2.0,1.0637523847691677,297,29,50
reset_between_velocity_2mps_window_04_at_A,hold,135.0,139.0,4.0,,5.0,3.0,135.0,135.0,,,,,,,,4,,,,,,,40,,
velocity_2mps_window_05_A_to_B,velocity,139.0,169.0,30.0,,5.0,3.0,139.0,148.0,148.0,151.0,156.0,True,,"{'valid': True, 'sample_count': 30, 'velocity_std_mps': 0.04081915415922957, 'speed_std_mps': 0.03707503551692835, 'velocity_slope_mps2': 0.013153351129626147, 'speed_slope_mps2': 0.013153351129626147, 'parallel_speed_mean_mps': 2.004534376404732, 'parallel_speed_error_mean_mps': 0.02827957503422082, 'parallel_speed_error_max_mps': 0.11041530166648839, 'cross_speed_abs_mean_mps': 0.02334746749740424, 'cross_speed_abs_max_mps': 0.05594544785519637, 'cross_track_abs_mean_m': 0.40079303376758674, 'cross_track_abs_max_m': 0.43436882243181096, 'along_track_min_m': 13.379116550343985, 'along_track_max_m': 19.25109585578215, 'along_track_progress_m': 5.871979305438165, 'start_margin_required_m': 6.0, 'endpoint_margin_remaining_m': 26.0, 'endpoint_margin_required_m': 8.0}",E_vel,5,2mps,2.0,"{'target_speed_mps': 2.0, 'direction_xy': [-0.9916184128767211, 0.1292010961402894]}","{'mean_parallel_mps': 2.044034342394404, 'mean_cross_mps': 0.016367787707388826, 'mean_abs_cross_mps': 0.02010138076405309}",2.0,2.2017171197201924,297,30,50
