name,style,mesh_path,center_x,center_y,center_z,yaw_rad,scale_x,scale_y,scale_z,vertices,min_x,max_x,min_y,max_y,min_z,max_z
oasis_of_the_seas_static_carrier,oasis,${F250_PROJECT_ROOT}/catkin_ws/src/f250_maritime_uav_sim/models/f250_oasis_of_the_seas_visual/meshes/oasis_of_the_seas_materialized.obj,26.5,16.0,-1.75,0.0,1.2,1.2,1.2,427567,-4.336396111999999,57.336396112,8.848997884,23.151002116,-1.75,7.913650532
tanker_ship_static_visual,tanker,${F250_PROJECT_ROOT}/catkin_ws/src/f250_maritime_uav_sim/models/f250_tanker_ship_visual/meshes/tanker_ship_materialized.obj,237.435,-109.212,-0.55,-0.22,1.7,1.7,1.7,244929,214.14763217973592,260.8837581206178,-118.28100277556837,-100.16543151918322,-0.55,6.59
kauai_left_island_visual,island,${F250_PROJECT_ROOT}/catkin_ws/src/f250_maritime_uav_sim/models/f250_clean_mountain_probe_visual/meshes/clean_single_mountain_probe_detailed.obj,135.0,-105.0,-1.15,-0.18,1.0,1.0,1.0,6166,68.41506437907562,204.85853723471135,-154.9503317686618,-54.04118791765336,-3.35,44.65
kauai_center_island_visual,island,${F250_PROJECT_ROOT}/catkin_ws/src/f250_maritime_uav_sim/models/f250_clean_mountain_probe_visual/meshes/clean_single_mountain_probe_detailed.obj,270.0,-12.0,-1.15,0.02,1.0,1.0,1.0,6166,199.97402764845276,338.7880804906664,-63.5976225650864,34.481441892999804,-3.35,44.65
kauai_right_island_visual,island,${F250_PROJECT_ROOT}/catkin_ws/src/f250_maritime_uav_sim/models/f250_clean_mountain_probe_visual/meshes/clean_single_mountain_probe_detailed.obj,135.0,105.0,-1.15,0.18,1.0,1.0,1.0,6166,64.02357371859017,202.23015418678222,50.220310274512805,150.93112289828696,-3.35,44.65
golden_gate_bridge_visual,red_bridge,${F250_PROJECT_ROOT}/catkin_ws/src/f250_maritime_uav_sim/models/f250_golden_gate_bridge_matthew_zirkle_visual/meshes/golden_gate_bridge_matthew_zirkle_materialized.obj,202.5,-58.5,0.0,0.6032298529246849,5.85,5.85,5.85,2616,128.24596663210903,276.754033367891,-111.17154616061471,-5.82845383938529,0.0,46.8
helix_bridge_visual,white_bridge,${F250_PROJECT_ROOT}/catkin_ws/src/f250_maritime_uav_sim/models/f250_helix_bridge_visual/meshes/helix_bridge_materialized.obj,202.5,46.5,0.0,2.427501954977635,8.9,8.9,8.9,121972,133.5431344448407,271.11522905412824,3.3600372623628942,90.11269532772869,0.0,28.480000000000004
lifebuoy_low_poly_visual,other,${F250_PROJECT_ROOT}/catkin_ws/src/f250_maritime_uav_sim/models/f250_lifebuoy_low_poly_visual/meshes/lifebuoy_low_poly_materialized.obj,-14.0,-33.5,0.08,0.25,1.1,1.1,1.1,2892,-14.972850566045626,-13.027149433954374,-34.472851105301295,-32.527148894698705,0.08,0.278
task_wind_channel_1,wind,${F250_PROJECT_ROOT}/catkin_ws/src/f250_maritime_uav_sim/models/f250_generic_wind_turbine_visual/meshes/generic_wind_turbine_materialized.obj,145.816,34.791,0.0,-0.5702118602218398,1.85,1.85,1.85,4322,139.12984459302368,151.5993312112934,30.093422411881875,38.122741363057045,0.0,44.400000000000006
task_wind_channel_2,wind,${F250_PROJECT_ROOT}/catkin_ws/src/f250_maritime_uav_sim/models/f250_generic_wind_turbine_visual/meshes/generic_wind_turbine_materialized.obj,161.987,24.421,0.0,-0.5702118602218398,1.85,1.85,1.85,4322,155.30084459302367,167.77033121129338,19.723422411881877,27.752741363057044,0.0,44.400000000000006
task_wind_channel_3,wind,${F250_PROJECT_ROOT}/catkin_ws/src/f250_maritime_uav_sim/models/f250_generic_wind_turbine_visual/meshes/generic_wind_turbine_materialized.obj,178.158,14.051,0.0,-0.5702118602218398,1.85,1.85,1.85,4322,171.47184459302366,183.94133121129337,9.353422411881876,17.382741363057043,0.0,44.400000000000006
o1_left_of_reference,buoy,${F250_PROJECT_ROOT}/catkin_ws/src/f250_maritime_uav_sim/models/f250_navigation_buoy_collision_mesh/meshes/navigation_buoy_collision.obj,78.564,38.061,5.5,0.0,3.1,3.1,11.0,58,76.30099999999999,80.827,35.798,40.324,0.0,11.0
o2_right_of_reference,buoy,${F250_PROJECT_ROOT}/catkin_ws/src/f250_maritime_uav_sim/models/f250_navigation_buoy_collision_mesh/meshes/navigation_buoy_collision.obj,86.715,22.012,5.5,0.0,3.1,3.1,11.0,58,84.452,88.97800000000001,19.749000000000002,24.275,0.0,11.0
o3_on_reference,buoy,${F250_PROJECT_ROOT}/catkin_ws/src/f250_maritime_uav_sim/models/f250_navigation_buoy_collision_mesh/meshes/navigation_buoy_collision.obj,101.363,39.546,5.5,0.0,3.1,3.1,11.0,58,99.1,103.626,37.283,41.809,0.0,11.0
o4_on_reference,buoy,${F250_PROJECT_ROOT}/catkin_ws/src/f250_maritime_uav_sim/models/f250_navigation_buoy_collision_mesh/meshes/navigation_buoy_collision.obj,115.183,46.565,5.5,0.0,3.1,3.1,11.0,58,112.92,117.44600000000001,44.302,48.827999999999996,0.0,11.0
o5_near_island_bank,island,${F250_PROJECT_ROOT}/catkin_ws/src/f250_maritime_uav_sim/models/f250_navigation_buoy_collision_mesh/meshes/navigation_buoy_collision.obj,197.5,5.0,5.5,0.0,3.0,3.0,11.0,58,195.31,199.69,2.81,7.1899999999999995,0.0,11.0
d1_wamv_slow_crossing_obstacle,wamv,${F250_PROJECT_ROOT}/catkin_ws/src/f250_maritime_uav_sim/models/f250_wamv_visual/mesh/WAM-V-Base.dae,181.0,-40.0,6.5,-0.25,4.0,4.0,4.0,0,170.0800410856023,191.9199589143977,-47.294378890555684,-32.705621109444316,3.4,9.6
